City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,fortuna,40.5982,-124.1573,13.29,66,16,2.24,US,1681259123
221,taoudenni,22.6783,-3.9836,26.06,7,100,4.19,ML,1681259123
222,palaikastron,35.2,26.25,13.07,71,27,10.38,GR,1681259124
223,merauke,-8.4667,140.3333,28.21,72,94,1.48,ID,1681259109
224,kieta,-6.2167,155.6333,28.8,75,97,2.22,PG,1681259125
225,kailua,21.4022,-157.7394,28.99,70,75,7.2,US,1681259125
226,lata,40.1629,-8.3327,11.71,86,66,1.19,PT,1681259126
227,tuatapere,-46.1333,167.6833,12.72,95,100,4.01,NZ,1681259127
228,pimenteiras,-6.2453,-41.4192,23.26,77,57,1.75,BR,1681259128
229,kilifi,-3.6305,39.8499,26.33,83,44,1.94,KE,1681259128
230,hirara,24.8,125.2833,24.15,83,40,4.12,JP,1681259130
231,rokupr,8.6717,-12.395,26.29,80,76,1.93,SL,1681259131
232,krasnyy yar,46.5331,48.3456,14.98,46,100,9.16,RU,1681259132
233,hovd,48.0056,91.6419,0.21,36,73,3.88,MN,1681259134
234,gamba,-2.65,10.0,25.77,89,100,1.77,GA,1681259134
235,milkovo,54.7167,158.6167,-3.16,76,95,2.12,RU,1681259136
236,marsh harbour,26.5412,-77.0636,21.54,77,100,12.02,BS,1681259067
237,inhambane,-23.865,35.3833,22.34,87,96,5.4,MZ,1681259137
238,coahuayana,18.7333,-103.6833,28.49,48,3,2.57,MX,1681259138
239,tulum,20.2167,-87.4667,26.0,67,55,3.1,MX,1681258921
240,hithadhoo,-0.6,73.0833,28.03,69,13,0.18,MV,1681259139
241,kyra,49.5776,111.9753,-2.64,50,72,1.25,RU,1681259140
242,plymouth,41.8334,-70.8328,21.9,44,0,8.23,US,1681259140
243,novoagansk,61.9449,76.6625,-15.91,97,68,1.04,RU,1681259141
244,pindwara,24.8,73.0667,24.42,34,2,0.34,IN,1681259142
245,hutang,31.5333,119.4833,14.84,52,36,5.7,CN,1681259143
246,cherskiy,68.75,161.3,-18.63,89,80,1.63,RU,1681259144
247,omsukchan,62.5333,155.8,-13.76,82,50,2.79,RU,1681259144
248,komsomolskiy,40.4272,71.7189,13.4,71,100,3.09,UZ,1681259145
249,mareeba,-17.0,145.4333,30.8,69,86,0.82,AU,1681259146
250,cayenne,4.9333,-52.3333,26.02,83,75,1.54,GF,1681259069
251,buraydah,26.326,43.975,19.25,55,96,7.05,SA,1681259147
252,coquimbo,-29.9533,-71.3436,15.85,100,100,2.06,CL,1681258815
253,vila do maio,15.1333,-23.2167,21.44,73,85,5.52,CV,1681259148
254,asau,46.4333,26.4,6.51,95,100,2.18,RO,1681258789
255,sargatskoye,55.6101,73.4972,-1.57,68,11,4.51,RU,1681259149
256,ruidoso,33.3317,-105.673,23.2,25,39,2.57,US,1681259150
257,bilibino,68.0546,166.4372,-17.06,71,100,0.42,RU,1681259150
258,skjervoy,70.0311,20.9714,0.0,67,1,4.68,NO,1681259151
259,kenai,60.5544,-151.2583,1.05,91,100,3.09,US,1681259152
260,faya,18.3851,42.4509,16.06,51,2,1.2,SA,1681259152
261,tadine,-21.55,167.8833,26.37,80,10,3.93,NC,1681259153
262,abu dhabi,24.4667,54.3667,27.19,61,0,1.03,AE,1681258913
263,bethel,41.3712,-73.414,21.05,23,0,3.6,US,1681259039
264,mingaora,34.7758,72.3625,16.21,50,1,3.31,PK,1681259156
265,madang,-5.2246,145.7966,24.6,94,100,2.98,PG,1681258960
266,nyurba,63.2842,118.3319,-10.68,91,59,3.67,RU,1681259157
267,oistins,13.0667,-59.5333,26.05,73,20,6.17,BB,1681259158
268,kloulklubed,7.0419,134.2556,29.28,77,92,4.11,PW,1681259158
269,rupert,42.6191,-113.6772,19.97,24,0,6.69,US,1681259159
270,russell,32.3502,-85.1999,21.78,67,0,0.0,US,1681258874
271,sitka,57.0531,-135.33,6.94,57,0,9.26,US,1681258863
272,hofn,64.2539,-15.2082,4.5,69,57,5.13,IS,1681259161
273,vila franca do campo,37.7167,-25.4333,16.23,92,65,2.87,PT,1681259162
274,shaowu,27.3409,117.4831,20.51,96,88,0.64,CN,1681259162
275,nemuro,43.3236,145.575,5.78,98,100,9.95,JP,1681259163
276,hambantota,6.1241,81.1185,25.34,84,32,4.72,LK,1681259164
277,kikerino,59.4667,29.6333,5.67,83,100,2.01,RU,1681259164
278,ofunato,39.0717,141.7167,14.5,73,100,3.68,JP,1681259165
279,xacmaz,41.4635,48.806,13.42,66,87,0.84,AZ,1681259165
280,hit,33.6416,42.8251,20.52,75,52,7.93,IQ,1681259166
281,gondanglegi,-7.7479,112.0132,25.43,84,68,1.31,ID,1681259167
282,deer lake,49.1667,-57.4316,6.92,53,75,1.54,CA,1681259167
283,sibu,2.3,111.8167,25.17,100,40,1.54,MY,1681259168
284,leningradskiy,69.3833,178.4167,-16.7,88,98,4.09,RU,1681259169
285,farkhor,37.4922,69.4036,15.18,54,81,2.39,TJ,1681259170
286,talnakh,69.4865,88.3972,-23.92,97,100,2.04,RU,1681259170
287,saint-louis,16.3333,-15.0,26.8,54,100,4.76,SN,1681259171
288,novocheremshansk,54.3571,50.1666,6.43,55,41,2.77,RU,1681259172
289,kyabe,9.4515,18.9449,29.71,43,87,3.69,TD,1681259172
290,zholymbet,51.7433,71.7122,-0.87,65,5,2.98,KZ,1681259173
291,hyeres,43.1167,6.1167,15.36,72,0,7.2,FR,1681259174
292,nioro,13.35,-15.75,26.88,40,9,2.34,GM,1681259174
293,chany,55.3121,76.7647,-3.49,74,33,3.78,RU,1681259175
294,shellbrook,53.2168,-106.4011,5.57,90,100,2.97,CA,1681259175
295,moerai,-22.4333,-151.3333,25.38,73,7,3.7,PF,1681259176
296,jiwani,25.05,61.7417,24.88,79,62,1.65,PK,1681259177
297,iquitos,-3.7481,-73.2472,27.02,74,0,0.51,PE,1681259177
298,grand-lahou,5.1367,-5.0242,26.13,84,83,2.25,CI,1681259179
299,acarau,-2.8856,-40.12,24.76,81,99,3.95,BR,1681258951
300,buin,-33.7333,-70.75,23.95,71,88,1.28,CL,1681258949
301,camden,39.7835,-74.9663,20.17,38,93,0.45,US,1681259055
302,bonnyville,54.2668,-110.735,2.89,80,100,4.43,CA,1681259185
303,xining,36.6167,101.7667,6.61,36,8,1.34,CN,1681259185
304,moyobamba,-6.05,-76.9667,20.02,98,99,0.26,PE,1681259186
305,rockport,28.0206,-97.0544,23.33,74,0,5.66,US,1681259187
306,sioux lookout,50.1001,-91.917,17.04,29,20,1.54,CA,1681259189
307,muros,42.7762,-9.0603,16.16,81,57,7.92,ES,1681259189
308,bubaque,11.2833,-15.8333,25.52,66,19,3.84,GW,1681259190
309,tiksi,71.6872,128.8694,-22.62,100,99,0.4,RU,1681259191
310,fangshan,39.6983,115.9925,12.7,16,0,0.91,CN,1681259192
311,ambunti,-4.2365,142.8448,23.26,99,100,0.52,PG,1681259193
312,wanning,18.8003,110.3967,25.33,88,98,2.02,CN,1681259193
313,wagar,16.1525,36.2032,30.81,26,4,2.02,SD,1681259194
314,san cristobal,7.7669,-72.225,24.1,85,99,0.84,VE,1681259195
315,ostrovnoy,68.0531,39.5131,-2.74,83,100,6.95,RU,1681259195
316,ust-ishim,57.6935,71.1665,-1.94,70,40,3.03,RU,1681259196
317,wajir,1.7471,40.0573,26.41,74,59,5.16,KE,1681259197
